body_type,price,vat,make1,model1,short_description1_displ,km1,age1,hp1,Type1,Body_Color1,Upholstery1,Nr_of_Doors1,Nr_of_Seats1,Gearing_Type1,Displacement1,Cylinders1,Weight1,Drive_chain1,Fuel1,Consump_comb1,Consump_city1,Consump_country1,CO2_Emission1,Comfort_point1,Entertainment_point1,Extras_point1,Safety_point1,Gears1
Sedans,18870,VAT deductible,Audi,A1,1.4,35800.0,2.6684931506849314,66.0,Used,White,Cloth,5.0,4.0,Automatic,1.4,3.0,,front,Diesel,3.8,3.8,3.8,99.0,16.0,5.0,3.0,13.0,
Sedans,18850,VAT deductible,Audi,A1,1.6,7672.0,1.5863013698630137,85.0,Used,Silver,Full leather,5.0,4.0,Automatic,1.6,4.0,1630.0,front,Diesel,3.7,3.7,3.7,97.0,3.0,1.0,1.0,9.0,7.0
Sedans,18500,VAT deductible,Audi,A1,1.6,13406.0,1.5863013698630137,85.0,Used,Black,Cloth,5.0,5.0,Automatic,1.6,4.0,,front,Diesel,3.8,3.8,3.8,99.0,11.0,6.0,4.0,12.0,7.0
Compact,18870,VAT deductible,Audi,A1,1.0,8430.0,1.4191780821917808,70.0,Used,Blue,Cloth,5.0,4.0,Automatic,1.0,3.0,,front,Gasoline,4.6,4.6,4.6,10.0,15.0,6.0,4.0,11.0,7.0
Compact,18497,,Audi,A1,1.6,40488.0,3.7534246575342465,85.0,Used,Red,Cloth,5.0,5.0,Automatic,1.6,,1250.0,front,Diesel,4.0,4.0,4.0,106.0,19.0,9.0,4.0,15.0,5.0
Compact,18490,,Audi,A1,1.4,24200.0,2.5863013698630137,66.0,Used,Grey,Cloth,5.0,4.0,Automatic,1.4,3.0,1195.0,front,Diesel,4.1,4.1,4.1,108.0,14.0,6.0,1.0,13.0,7.0
Compact,18490,,Audi,A1,1.4,26500.0,2.915068493150685,66.0,Used,Brown,Cloth,5.0,5.0,Automatic,1.4,3.0,,front,Diesel,4.0,4.0,4.0,104.0,17.0,7.0,5.0,15.0,7.0
Compact,18490,VAT deductible,Audi,A1,1.0,58806.0,3.7534246575342465,71.0,Used,Black,Cloth,5.0,4.0,Automatic,1.0,3.0,1065.0,front,Gasoline,4.4,4.4,4.4,103.0,14.0,2.0,1.0,11.0,7.0
Sedans,18500,Price negotiable,Audi,A1,1.6,39000.0,3.7534246575342465,85.0,Used,White,,3.0,4.0,Automatic,1.6,4.0,1250.0,,Diesel,3.8,3.8,3.8,99.0,6.0,4.0,2.0,10.0,7.0
Sedans,18490,,Audi,A1,1.4,16700.0,2.5863013698630137,92.0,Used,Red,Cloth,5.0,4.0,Automatic,1.4,4.0,1215.0,front,Gasoline,5.1,5.1,5.1,117.0,12.0,6.0,4.0,14.0,7.0
